id,x,y,z,width,depth,height,floor_count,density,type,roof,is_tower,macro_x,macro_y,micro_x,micro_y,parcel_id,footprint_cells_x,footprint_cells_y,source_cell_count
60,9.8302,4.0103,0.393,0.7907,0.3835,0.84,6,high,house,gable,False,8,5,2,0,13,2,1,2
61,10.0516,4.4478,0.331,0.3965,0.3814,0.56,4,high,house,gable,False,8,5,3,1,13,1,1,1
62,9.1439,6.2165,0.317,0.4123,0.7445,0.7,5,high,house,hip,False,8,6,1,1,9,1,2,2
63,9.7958,6.484,0.218,0.8029,0.3714,0.42,3,high,house,gable,False,8,6,2,2,9,2,1,2
64,9.5438,6.8727,0.219,0.4025,0.3673,0.7,5,high,house,gable,False,8,6,2,3,9,1,1,1
65,10.8827,3.4027,0.286,0.3973,0.7725,0.56,4,high,house,hip,False,9,4,1,2,13,1,2,2
66,10.4811,4.4546,1.902,0.4113,0.398,1.4,10,high,tower,flat,True,9,5,0,1,13,1,1,1
67,10.9048,4.4458,0.221,0.396,1.1471,0.84,6,high,house,hip,False,9,5,1,0,13,1,3,3
68,10.484,4.8693,0.247,0.3944,0.3815,0.7,5,high,house,gable,False,9,5,0,2,13,1,1,1
69,12.732,2.0061,0.126,0.7722,0.4018,0.84,6,high,house,gable,False,10,4,1,0,15,2,1,2
70,13.1722,2.2927,0.067,0.8014,0.3967,0.7,5,high,house,gable,False,10,4,2,1,15,2,1,2
71,12.8041,2.8634,0.082,0.8186,0.391,0.7,5,high,house,gable,False,10,4,1,2,15,2,1,2
72,12.192,3.4711,0.121,0.4097,0.3866,0.7,5,high,house,gable,False,10,4,0,3,15,1,1,1
73,13.5047,3.0627,0.004,0.4335,0.3908,0.56,4,high,house,gable,False,10,4,3,3,15,1,1,1
74,13.1661,4.4832,1.439,0.4772,0.4069,1.82,13,high,tower,flat,True,10,5,2,2,15,1,1,1
75,13.115,3.6217,0.018,1.3156,0.3883,0.7,5,high,house,gable,False,10,5,1,0,15,3,1,3
76,13.1451,4.0609,-0.004,0.4502,0.3883,0.7,5,high,house,gable,False,10,5,2,1,15,1,1,1
77,12.4691,4.6657,0.034,0.8693,0.3873,0.7,5,high,house,gable,False,10,5,0,2,15,2,1,2
78,12.2358,5.1487,0.033,0.4287,0.3876,0.42,3,high,house,gable,False,10,5,0,3,15,1,1,1
79,13.4154,4.8279,-0.061,0.9315,0.3931,0.56,4,high,house,gable,False,10,5,2,3,15,2,1,2
80,12.2287,5.5701,0.013,0.4288,0.3878,0.42,3,high,house,gable,False,10,6,0,0,15,1,1,1
81,13.1668,5.3344,-0.061,0.4608,0.3928,0.42,3,high,house,gable,False,10,6,2,0,15,1,1,1
82,12.6813,5.8897,-0.043,0.4448,0.3884,0.7,5,high,house,gable,False,10,6,1,1,15,1,1,1
83,11.9655,14.1685,-0.244,0.3936,0.7218,0.56,4,high,house,hip,False,10,11,0,1,75,1,2,2
84,12.4421,14.5953,-0.267,0.3808,0.7798,0.7,5,high,house,hip,False,10,11,1,2,75,1,2,2
85,12.873,14.8333,-0.284,0.3706,0.4081,0.84,6,high,house,gable,False,10,11,2,3,75,1,1,1
86,13.8266,2.2652,0.005,0.4145,0.7949,0.84,6,high,house,hip,False,11,4,0,1,15,1,2,2
87,14.0658,3.7441,-0.072,0.4595,1.1771,0.56,4,medium,house,hip,False,11,5,0,0,15,1,3,3
