x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
2,6,0.508,0.12,True,5.652,0.482,0.297,0.54,0.441,0.603,0.655,1,low,residential_low,False
3,6,0.628,0.12,True,4.661,0.543,0.337,0.508,0.472,0.542,0.638,1,low,residential_low,False
4,6,0.744,0.116,True,3.671,0.605,0.375,0.536,0.519,0.504,0.659,1,low,residential_low,False
5,6,0.852,0.108,True,2.68,0.665,0.413,0.578,0.568,0.473,0.688,1,low,residential_low,False
6,6,0.949,0.097,True,1.689,0.726,0.448,0.745,0.647,0.491,0.754,1,low,residential_low,False
7,6,1.032,0.083,True,0.698,0.785,0.482,0.627,0.654,0.425,0.682,1,low,residential_low,False
8,6,1.098,0.066,True,0.293,0.815,0.512,0.543,0.656,0.381,0.633,1,low,residential_low,False
9,6,1.145,0.076,True,1.284,0.777,0.54,0.348,0.599,0.316,0.544,1,low,residential_low,False
10,6,1.173,0.086,True,2.274,0.738,0.564,0.423,0.607,0.358,0.586,1,low,residential_low,False
11,6,1.182,0.095,True,3.265,0.697,0.583,0.416,0.593,0.368,0.589,1,low,residential_low,False
12,6,1.171,0.101,True,4.256,0.654,0.598,0.302,0.549,0.337,0.522,1,low,residential_low,False
13,6,1.143,0.105,True,5.247,0.61,0.607,0.349,0.544,0.369,0.55,1,low,residential_low,False
14,6,1.1,0.108,True,6.238,0.563,0.61,0.41,0.539,0.409,0.585,1,low,residential_low,False
15,6,1.045,0.108,True,7.129,0.519,0.607,0.363,0.506,0.404,0.551,2,medium,residential_medium,False
16,6,0.981,0.105,True,6.442,0.549,0.598,0.315,0.505,0.375,0.522,2,medium,residential_medium,False
17,6,0.912,0.101,True,5.756,0.577,0.583,0.324,0.516,0.37,0.529,2,medium,residential_medium,False
18,6,0.842,0.095,True,5.069,0.603,0.564,0.575,0.584,0.462,0.687,2,medium,residential_medium,False
19,6,0.774,0.086,True,4.382,0.628,0.54,0.547,0.581,0.443,0.671,2,medium,residential_medium,False
20,6,0.711,0.077,True,3.696,0.651,0.512,0.525,0.578,0.427,0.657,2,medium,residential_medium,False
21,6,0.656,0.066,True,3.009,0.674,0.482,0.514,0.576,0.415,0.649,1,low,residential_low,False
22,6,0.609,0.055,True,2.322,0.695,0.448,0.575,0.591,0.433,0.679,1,low,residential_low,False
23,6,0.573,0.044,True,1.636,0.716,0.413,0.638,0.606,0.451,0.708,1,low,residential_low,False
24,6,0.545,0.033,True,0.949,0.736,0.375,0.547,0.581,0.437,0.67,1,low,residential_low,False
25,6,0.525,0.022,True,0.263,0.755,0.337,0.511,0.569,0.446,0.651,1,low,residential_low,False
26,6,0.511,0.014,True,0.424,0.733,0.297,0.507,0.546,0.481,0.649,1,low,residential_low,False
27,6,0.5,0.011,True,1.111,0.686,0.256,0.646,0.547,0.581,0.736,1,low,residential_low,False
28,6,0.49,0.012,True,1.797,0.638,0.214,0.671,0.519,0.635,0.75,1,low,residential_low,False
29,6,0.478,0.014,True,2.484,0.59,0.171,0.635,0.476,0.665,0.724,1,low,residential_low,False
0,7,0.258,0.123,True,7.769,0.359,0.237,0.61,0.385,0.729,0.696,0,none,forest,False
1,7,0.381,0.128,True,6.778,0.422,0.28,0.542,0.409,0.653,0.656,0,none,forest,False
