x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
0,0,0.295,0.109,True,8.746,0.025,0.071,0.563,0.173,0.817,0.624,0,none,forest,False
1,0,0.404,0.116,True,7.906,0.049,0.14,0.603,0.215,0.826,0.658,0,none,forest,False
2,0,0.52,0.116,True,7.106,0.07,0.201,0.513,0.22,0.783,0.608,0,none,forest,False
3,0,0.635,0.127,True,6.364,0.126,0.254,0.645,0.294,0.818,0.702,0,none,forest,False
4,0,0.739,0.16,True,5.701,0.205,0.297,0.669,0.348,0.802,0.727,0,none,forest,False
5,0,0.822,0.187,True,5.148,0.268,0.326,0.705,0.395,0.796,0.758,0,none,forest,False
6,0,0.872,0.205,True,4.743,0.313,0.341,0.381,0.339,0.652,0.556,0,none,forest,False
7,0,0.881,0.213,True,4.528,0.334,0.341,0.323,0.333,0.622,0.521,0,none,forest,False
8,0,0.849,0.206,True,4.528,0.328,0.326,0.369,0.338,0.643,0.548,0,none,forest,False
9,0,0.779,0.187,True,4.743,0.297,0.297,0.438,0.332,0.68,0.587,0,none,forest,False
10,0,0.679,0.159,True,4.717,0.285,0.254,0.502,0.33,0.71,0.623,0,none,forest,False
11,0,0.56,0.127,True,4.272,0.309,0.201,0.494,0.323,0.699,0.615,0,none,forest,False
12,0,0.435,0.125,True,4.031,0.311,0.14,0.427,0.289,0.671,0.566,0,none,forest,False
13,0,0.315,0.12,True,4.031,0.287,0.071,0.363,0.241,0.653,0.517,0,none,forest,False
14,0,0.207,0.108,True,4.272,0.239,0.0,0.272,0.176,0.632,0.448,0,none,forest,False
0,1,0.337,0.133,True,8.276,0.049,0.14,0.551,0.202,0.805,0.624,0,none,forest,False
1,1,0.47,0.145,True,7.382,0.075,0.214,0.55,0.236,0.738,0.621,0,none,forest,False
2,1,0.615,0.147,True,6.519,0.121,0.282,0.515,0.268,0.709,0.609,0,none,forest,False
3,1,0.762,0.148,True,5.701,0.221,0.341,0.529,0.334,0.683,0.632,0,none,forest,False
4,1,0.899,0.187,True,4.95,0.31,0.39,0.691,0.429,0.719,0.747,5,none,plaza,False
5,1,1.009,0.221,True,4.301,0.384,0.424,0.701,0.475,0.699,0.763,0,none,forest,False
6,1,1.077,0.244,True,3.808,0.438,0.442,0.356,0.419,0.544,0.548,1,low,residential_low,False
7,1,1.094,0.252,True,3.536,0.464,0.442,0.28,0.411,0.505,0.501,1,low,residential_low,False
8,1,1.055,0.244,True,3.536,0.458,0.424,0.338,0.418,0.53,0.536,1,low,residential_low,False
9,1,0.966,0.221,True,3.808,0.42,0.39,0.444,0.417,0.585,0.598,1,low,residential_low,False
10,1,0.838,0.187,True,3.883,0.396,0.341,0.391,0.378,0.571,0.557,1,low,residential_low,False
11,1,0.687,0.157,True,3.354,0.426,0.282,0.442,0.387,0.582,0.587,1,low,residential_low,False
