x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
12,1,0.53,0.157,True,3.041,0.432,0.214,0.404,0.36,0.565,0.556,1,low,residential_low,False
13,1,0.381,0.149,True,3.041,0.406,0.14,0.398,0.324,0.571,0.543,1,low,residential_low,False
14,1,0.25,0.131,True,3.354,0.348,0.061,0.238,0.234,0.584,0.44,0,none,forest,False
0,2,0.381,0.162,True,7.708,0.07,0.201,0.514,0.22,0.783,0.608,0,none,forest,False
1,2,0.543,0.18,True,6.964,0.099,0.282,0.562,0.27,0.735,0.637,0,none,forest,False
2,2,0.723,0.187,True,6.042,0.193,0.357,0.458,0.308,0.605,0.574,1,low,residential_low,False
3,2,0.91,0.187,True,5.148,0.303,0.424,0.559,0.403,0.61,0.654,1,low,residential_low,False
4,2,1.086,0.201,True,4.301,0.404,0.48,0.605,0.477,0.596,0.697,2,medium,residential_medium,False
5,2,1.23,0.239,True,3.536,0.492,0.521,0.722,0.558,0.615,0.783,2,medium,residential_medium,False
6,2,1.321,0.265,True,2.915,0.559,0.543,0.318,0.494,0.432,0.531,2,medium,residential_medium,False
7,2,1.346,0.274,True,2.55,0.594,0.543,0.311,0.508,0.418,0.53,2,medium,residential_medium,False
8,2,1.299,0.265,True,2.55,0.587,0.521,0.282,0.491,0.408,0.509,2,medium,residential_medium,False
9,2,1.187,0.239,True,2.915,0.537,0.48,0.356,0.475,0.454,0.548,3,high,urban_high,False
10,2,1.025,0.201,True,3.051,0.505,0.424,0.334,0.438,0.455,0.526,2,medium,residential_medium,False
11,2,0.835,0.197,True,2.496,0.535,0.357,0.328,0.43,0.443,0.518,1,low,residential_low,False
12,2,0.638,0.197,True,2.062,0.55,0.282,0.336,0.416,0.442,0.517,1,low,residential_low,False
13,2,0.454,0.184,True,2.062,0.522,0.201,0.309,0.373,0.498,0.502,1,low,residential_low,False
14,2,0.293,0.161,True,2.5,0.45,0.116,0.251,0.3,0.556,0.462,0,none,forest,False
0,3,0.423,0.194,True,6.864,0.089,0.254,0.481,0.237,0.764,0.594,0,none,forest,False
1,3,0.617,0.219,True,6.327,0.16,0.341,0.441,0.285,0.667,0.571,1,low,residential_low,False
2,3,0.836,0.231,True,5.701,0.249,0.424,0.451,0.352,0.584,0.58,1,low,residential_low,False
3,3,1.067,0.231,True,4.743,0.368,0.5,0.261,0.381,0.412,0.464,1,low,residential_low,False
4,3,1.287,0.22,True,3.808,0.481,0.566,0.325,0.467,0.401,0.52,2,medium,residential_medium,False
5,3,1.469,0.239,True,2.915,0.585,0.615,0.337,0.532,0.373,0.541,3,high,urban_high,False
6,3,1.586,0.265,True,2.121,0.671,0.643,0.536,0.629,0.425,0.647,3,high,urban_high,False
7,3,1.62,0.274,True,1.581,0.723,0.643,0.486,0.64,0.388,0.612,3,high,urban_high,False
8,3,1.564,0.265,True,1.581,0.713,0.615,0.51,0.633,0.401,0.628,3,high,urban_high,False
9,3,1.426,0.239,True,2.121,0.644,0.566,0.567,0.601,0.446,0.675,3,high,urban_high,False
10,3,1.226,0.234,True,2.219,0.611,0.5,0.497,0.549,0.428,0.634,3,high,urban_high,False
11,3,0.992,0.24,True,1.664,0.638,0.424,0.512,0.542,0.426,0.639,2,medium,residential_medium,False
12,3,0.752,0.24,True,1.118,0.662,0.341,0.525,0.532,0.481,0.653,2,medium,residential_medium,False
13,3,0.528,0.224,True,1.118,0.631,0.254,0.52,0.49,0.548,0.65,2,medium,residential_medium,False
14,3,0.335,0.193,True,1.803,0.534,0.164,0.506,0.416,0.632,0.637,1,low,residential_low,False
0,4,0.457,0.225,True,6.021,0.174,0.297,0.499,0.292,0.744,0.616,0,none,forest,False
1,4,0.682,0.26,True,5.484,0.258,0.39,0.49,0.356,0.655,0.614,1,low,residential_low,False
2,4,0.942,0.275,True,4.947,0.342,0.48,0.458,0.412,0.557,0.598,1,low,residential_low,False
3,4,1.217,0.275,True,4.41,0.423,0.566,0.407,0.462,0.452,0.568,3,high,urban_high,False
4,4,1.48,0.263,True,3.536,0.535,0.643,0.393,0.532,0.353,0.564,2,medium,residential_medium,False
5,4,1.699,0.23,True,2.55,0.651,0.705,0.389,0.602,0.314,0.563,4,high,tower_candidate,True
6,4,1.842,0.256,True,1.581,0.758,0.742,0.488,0.686,0.319,0.584,3,high,urban_high,False
7,4,1.885,0.265,True,0.707,0.842,0.742,0.505,0.728,0.299,0.575,5,none,plaza,False
8,4,1.82,0.256,True,0.707,0.829,0.705,0.52,0.715,0.309,0.588,3,high,urban_high,False
9,4,1.657,0.238,True,1.576,0.723,0.643,0.616,0.672,0.382,0.663,4,high,tower_candidate,True
10,4,1.419,0.277,True,1.368,0.716,0.566,0.564,0.633,0.363,0.646,3,high,urban_high,False
11,4,1.142,0.285,True,0.832,0.738,0.48,0.484,0.597,0.382,0.623,3,high,urban_high,False
12,4,0.857,0.285,True,0.277,0.76,0.39,0.492,0.582,0.437,0.643,3,high,urban_high,False
13,4,0.594,0.263,True,0.5,0.706,0.297,0.538,0.541,0.531,0.672,2,medium,residential_medium,False
14,4,0.369,0.225,True,1.5,0.576,0.201,0.569,0.462,0.643,0.684,1,low,residential_low,False
0,5,0.475,0.254,True,5.177,0.266,0.326,0.471,0.335,0.703,0.608,0,none,forest,False
1,5,0.729,0.293,True,4.64,0.352,0.424,0.498,0.41,0.628,0.63,2,medium,residential_medium,False
2,5,1.022,0.313,True,4.103,0.437,0.521,0.535,0.487,0.557,0.658,3,high,urban_high,False
3,5,1.335,0.313,True,3.566,0.522,0.615,0.406,0.521,0.42,0.58,2,medium,residential_medium,False
4,5,1.636,0.301,True,3.03,0.605,0.705,0.497,0.608,0.372,0.624,3,high,urban_high,False
5,5,1.887,0.251,True,2.493,0.685,0.786,0.445,0.655,0.279,0.565,3,high,urban_high,False
6,5,2.052,0.21,True,1.581,0.792,0.84,0.554,0.747,0.288,0.59,3,high,urban_high,False
7,5,2.103,0.218,True,0.657,0.881,0.84,0.515,0.777,0.244,0.553,3,high,urban_high,False
8,5,2.03,0.21,True,0.263,0.9,0.786,0.485,0.762,0.226,0.54,3,high,urban_high,False
9,5,1.845,0.27,True,1.008,0.8,0.705,0.628,0.729,0.315,0.637,3,high,urban_high,False
10,5,1.575,0.315,True,0.504,0.817,0.615,0.592,0.7,0.342,0.634,3,high,urban_high,False
11,5,1.26,0.323,True,0.0,0.832,0.521,0.515,0.659,0.365,0.615,2,medium,residential_medium,False
12,5,0.937,0.323,True,0.555,0.745,0.424,0.465,0.579,0.431,0.629,2,medium,residential_medium,False
13,5,0.64,0.297,True,1.109,0.657,0.326,0.557,0.533,0.554,0.683,2,medium,residential_medium,False
14,5,0.388,0.252,True,1.803,0.556,0.227,0.657,0.483,0.685,0.741,0,none,forest,False
0,6,0.472,0.272,True,4.333,0.352,0.341,0.543,0.397,0.705,0.663,0,none,forest,False
1,6,0.744,0.316,True,3.796,0.439,0.442,0.572,0.473,0.63,0.686,2,medium,residential_medium,False
2,6,1.06,0.339,True,3.26,0.526,0.543,0.54,0.534,0.531,0.671,2,medium,residential_medium,False
3,6,1.399,0.339,True,2.723,0.613,0.643,0.508,0.596,0.432,0.645,3,high,urban_high,False
4,6,1.725,0.326,True,2.186,0.699,0.742,0.536,0.671,0.357,0.62,3,high,urban_high,False
5,6,1.999,0.274,True,1.649,0.785,0.84,0.578,0.75,0.3,0.603,3,high,urban_high,False
6,6,2.178,0.179,True,1.118,0.867,0.929,0.745,0.855,0.341,0.658,2,medium,residential_medium,False
7,6,2.234,0.131,True,1.05,0.874,0.929,0.627,0.829,0.291,0.6,3,high,urban_high,False
8,6,2.156,0.2,True,0.131,0.931,0.84,0.543,0.807,0.239,0.556,3,high,urban_high,False
9,6,1.956,0.291,True,0.144,0.896,0.742,0.348,0.713,0.172,0.479,3,high,urban_high,False
10,6,1.665,0.341,True,0.36,0.84,0.643,0.423,0.677,0.267,0.546,3,high,urban_high,False
11,6,1.324,0.348,True,0.614,0.781,0.543,0.416,0.618,0.341,0.576,3,high,urban_high,False
12,6,0.976,0.348,True,0.175,0.788,0.442,0.302,0.563,0.352,0.53,3,high,urban_high,False
13,6,0.655,0.321,True,0.965,0.677,0.341,0.349,0.494,0.465,0.553,2,medium,residential_medium,False
14,6,0.384,0.271,True,1.754,0.565,0.241,0.41,0.429,0.583,0.585,2,medium,residential_medium,False
0,7,0.442,0.279,True,3.49,0.433,0.341,0.61,0.45,0.705,0.712,0,none,forest,False
1,7,0.721,0.324,True,2.953,0.52,0.442,0.542,0.502,0.592,0.674,2,medium,residential_medium,False
2,7,1.045,0.347,True,2.416,0.607,0.543,0.523,0.567,0.498,0.666,3,high,urban_high,False
3,7,1.392,0.347,True,1.879,0.694,0.643,0.437,0.614,0.378,0.594,5,none,plaza,False
4,7,1.728,0.336,True,1.342,0.781,0.742,0.516,0.703,0.323,0.593,3,high,urban_high,False
5,7,2.009,0.281,True,0.805,0.867,0.84,0.563,0.783,0.268,0.579,3,high,urban_high,False
6,7,2.194,0.185,True,0.268,0.949,0.929,0.721,0.886,0.305,0.629,3,high,urban_high,False
7,7,2.252,0.105,True,0.186,0.957,0.929,0.708,0.886,0.297,0.621,3,high,urban_high,False
8,7,2.172,0.205,True,0.216,0.923,0.84,0.548,0.804,0.244,0.56,3,high,urban_high,False
9,7,1.967,0.3,True,0.394,0.872,0.742,0.327,0.697,0.172,0.474,5,none,plaza,False
10,7,1.667,0.35,True,1.224,0.757,0.643,0.364,0.625,0.27,0.534,3,high,urban_high,False
11,7,1.317,0.357,True,1.228,0.722,0.543,0.52,0.618,0.402,0.638,3,high,urban_high,False
12,7,0.96,0.357,True,0.439,0.763,0.442,0.452,0.589,0.42,0.618,4,high,tower_candidate,True
13,7,0.632,0.328,True,0.351,0.736,0.341,0.432,0.542,0.479,0.611,2,medium,residential_medium,False
14,7,0.354,0.278,True,1.14,0.624,0.241,0.368,0.445,0.548,0.563,1,low,residential_low,False
0,8,0.385,0.272,True,2.646,0.509,0.326,0.596,0.476,0.676,0.708,2,medium,residential_medium,False
1,8,0.657,0.316,True,2.109,0.595,0.424,0.529,0.527,0.563,0.67,3,high,urban_high,False
2,8,0.973,0.338,True,1.572,0.681,0.521,0.452,0.576,0.446,0.625,3,high,urban_high,False
3,8,1.311,0.338,True,1.035,0.766,0.615,0.463,0.645,0.365,0.594,3,high,urban_high,False
4,8,1.638,0.327,True,0.499,0.849,0.705,0.49,0.716,0.291,0.57,3,high,urban_high,False
5,8,1.912,0.274,True,0.038,0.921,0.786,0.501,0.775,0.226,0.543,5,none,plaza,False
6,8,2.091,0.209,True,0.072,0.937,0.84,0.685,0.845,0.294,0.623,3,high,urban_high,False
7,8,2.147,0.215,True,0.576,0.889,0.84,0.715,0.831,0.322,0.647,4,high,tower_candidate,True
8,8,2.069,0.209,True,0.371,0.889,0.786,0.658,0.8,0.299,0.625,3,high,urban_high,False
9,8,1.869,0.292,True,0.0,0.897,0.705,0.355,0.704,0.175,0.486,3,high,urban_high,False
10,8,1.577,0.341,True,1.0,0.769,0.615,0.363,0.621,0.266,0.534,3,high,urban_high,False
11,8,1.236,0.348,True,1.842,0.655,0.521,0.536,0.585,0.43,0.662,5,none,plaza,False
12,8,0.888,0.348,True,1.052,0.697,0.424,0.495,0.565,0.458,0.644,2,medium,residential_medium,False
13,8,0.568,0.32,True,0.263,0.739,0.326,0.516,0.559,0.512,0.663,2,medium,residential_medium,False
14,8,0.297,0.271,True,0.526,0.679,0.227,0.453,0.487,0.564,0.62,2,medium,residential_medium,False
0,9,0.305,0.253,True,1.803,0.58,0.297,0.636,0.509,0.669,0.736,2,medium,residential_medium,False
1,9,0.558,0.294,True,1.265,0.665,0.39,0.573,0.559,0.558,0.7,2,medium,residential_medium,False
2,9,0.852,0.312,True,0.729,0.748,0.48,0.598,0.63,0.483,0.688,3,high,urban_high,False
3,9,1.164,0.312,True,0.192,0.829,0.566,0.48,0.663,0.352,0.594,4,high,tower_candidate,True
4,9,1.465,0.301,True,0.184,0.857,0.643,0.45,0.691,0.272,0.555,3,high,urban_high,False
5,9,1.717,0.263,True,0.404,0.858,0.705,0.408,0.7,0.209,0.519,3,high,urban_high,False
6,9,1.882,0.285,True,0.936,0.82,0.742,0.283,0.662,0.171,0.464,3,high,urban_high,False
7,9,1.932,0.292,True,1.44,0.771,0.742,0.437,0.679,0.248,0.548,3,high,urban_high,False
8,9,1.86,0.285,True,1.3,0.772,0.705,0.374,0.653,0.223,0.521,3,high,urban_high,False
9,9,1.674,0.269,True,1.0,0.779,0.643,0.351,0.631,0.211,0.514,3,high,urban_high,False
10,9,1.405,0.316,True,1.414,0.712,0.566,0.323,0.571,0.268,0.526,5,none,plaza,False
11,9,1.089,0.322,True,2.236,0.603,0.48,0.333,0.499,0.365,0.527,2,medium,residential_medium,False
12,9,0.767,0.322,True,1.666,0.626,0.39,0.395,0.497,0.441,0.571,2,medium,residential_medium,False
13,9,0.47,0.297,True,0.877,0.669,0.297,0.454,0.504,0.509,0.615,1,low,residential_low,False
14,9,0.217,0.253,True,0.088,0.712,0.201,0.42,0.486,0.54,0.599,1,low,residential_low,False
0,10,0.211,0.226,True,1.118,0.631,0.254,0.562,0.501,0.623,0.689,3,high,urban_high,False
1,10,0.437,0.26,True,0.422,0.729,0.341,0.565,0.572,0.534,0.695,3,high,urban_high,False
2,10,0.697,0.275,True,0.115,0.787,0.424,0.577,0.626,0.462,0.675,3,high,urban_high,False
3,10,0.972,0.275,True,0.037,0.821,0.5,0.45,0.632,0.342,0.588,3,high,urban_high,False
4,10,1.235,0.263,True,0.625,0.788,0.566,0.392,0.622,0.271,0.549,3,high,urban_high,False
5,10,1.454,0.293,True,1.213,0.749,0.615,0.345,0.608,0.265,0.53,3,high,urban_high,False
6,10,1.597,0.319,True,1.8,0.702,0.643,0.287,0.581,0.257,0.509,3,high,urban_high,False
7,10,1.64,0.328,True,2.303,0.653,0.643,0.394,0.585,0.315,0.571,3,high,urban_high,False
8,10,1.575,0.319,True,2.228,0.651,0.615,0.417,0.582,0.325,0.585,3,high,urban_high,False
9,10,1.412,0.294,True,2.0,0.655,0.566,0.379,0.559,0.309,0.557,3,high,urban_high,False
10,10,1.174,0.277,True,2.236,0.61,0.5,0.285,0.496,0.285,0.487,2,medium,residential_medium,False
11,10,0.897,0.285,True,2.121,0.594,0.424,0.335,0.478,0.369,0.522,2,medium,residential_medium,False
12,10,0.612,0.285,True,1.414,0.633,0.341,0.268,0.454,0.388,0.486,2,medium,residential_medium,False
13,10,0.348,0.264,True,0.707,0.671,0.254,0.35,0.466,0.467,0.545,1,low,residential_low,False
14,10,0.124,0.224,True,0.0,0.707,0.164,0.335,0.451,0.508,0.541,1,low,residential_low,False
0,11,0.115,0.193,True,0.919,0.632,0.201,0.624,0.501,0.647,0.724,2,medium,residential_medium,False
1,11,0.308,0.22,True,0.331,0.717,0.282,0.619,0.562,0.56,0.723,3,high,urban_high,False
2,11,0.528,0.231,True,0.257,0.75,0.357,0.608,0.597,0.487,0.704,3,high,urban_high,False
3,11,0.759,0.231,True,0.845,0.717,0.424,0.401,0.55,0.356,0.574,3,high,urban_high,False
4,11,0.979,0.256,True,1.0,0.722,0.48,0.393,0.567,0.351,0.575,2,medium,residential_medium,False
5,11,1.161,0.293,True,1.414,0.696,0.521,0.352,0.557,0.343,0.55,2,medium,residential_medium,False
6,11,1.278,0.319,True,2.236,0.625,0.543,0.314,0.523,0.351,0.522,3,high,urban_high,False
7,11,1.312,0.328,True,3.162,0.535,0.543,0.358,0.493,0.397,0.543,2,medium,residential_medium,False
8,11,1.256,0.319,True,3.162,0.528,0.521,0.349,0.481,0.396,0.535,2,medium,residential_medium,False
9,11,1.118,0.294,True,2.828,0.546,0.48,0.313,0.468,0.375,0.509,2,medium,residential_medium,False
10,11,0.918,0.256,True,2.121,0.594,0.424,0.247,0.456,0.334,0.466,4,high,tower_candidate,True
11,11,0.684,0.24,True,1.414,0.639,0.357,0.285,0.466,0.335,0.487,1,low,residential_low,False
12,11,0.444,0.24,True,0.707,0.681,0.282,0.28,0.461,0.377,0.492,1,low,residential_low,False
13,11,0.219,0.225,True,0.0,0.72,0.201,0.268,0.451,0.418,0.491,1,low,residential_low,False
14,11,0.027,0.192,True,0.707,0.623,0.116,0.242,0.376,0.497,0.47,1,low,residential_low,False
0,12,0.025,0.161,True,0.11,0.688,0.14,0.722,0.532,0.669,0.785,2,medium,residential_medium,False
1,12,0.186,0.181,True,0.331,0.693,0.214,0.736,0.56,0.614,0.79,2,medium,residential_medium,False
2,12,0.367,0.187,True,0.221,0.727,0.282,0.688,0.584,0.526,0.754,3,high,urban_high,False
3,12,0.554,0.205,True,0.11,0.759,0.341,0.616,0.598,0.487,0.707,3,high,urban_high,False
4,12,0.729,0.25,True,0.0,0.786,0.39,0.568,0.613,0.459,0.674,3,high,urban_high,False
5,12,0.873,0.288,True,1.0,0.702,0.424,0.637,0.602,0.513,0.721,3,high,urban_high,False
6,12,0.965,0.313,True,2.0,0.612,0.442,0.675,0.577,0.557,0.754,2,medium,residential_medium,False
7,12,0.989,0.323,True,3.0,0.516,0.442,0.657,0.529,0.581,0.735,2,medium,residential_medium,False
8,12,0.943,0.313,True,2.915,0.518,0.424,0.59,0.508,0.554,0.691,2,medium,residential_medium,False
9,12,0.83,0.288,True,2.121,0.582,0.39,0.472,0.497,0.486,0.617,2,medium,residential_medium,False
10,12,0.669,0.249,True,1.414,0.633,0.341,0.449,0.5,0.46,0.602,1,low,residential_low,False
11,12,0.479,0.205,True,0.707,0.681,0.282,0.473,0.509,0.455,0.615,1,low,residential_low,False
12,12,0.282,0.197,True,0.0,0.725,0.214,0.402,0.491,0.412,0.567,1,low,residential_low,False
13,12,0.097,0.185,True,0.707,0.631,0.14,0.412,0.429,0.505,0.57,1,low,residential_low,False
14,12,-0.063,0.16,True,1.414,0.535,0.061,0.365,0.35,0.575,0.537,1,low,residential_low,False
0,13,-0.05,0.133,True,0.552,0.622,0.071,0.713,0.48,0.686,0.767,0,none,forest,False
1,13,0.083,0.145,True,0.663,0.635,0.14,0.708,0.505,0.622,0.76,2,medium,residential_medium,False
2,13,0.228,0.147,True,0.773,0.646,0.201,0.726,0.533,0.625,0.778,2,medium,residential_medium,False
3,13,0.375,0.179,True,0.883,0.654,0.254,0.63,0.528,0.584,0.723,2,medium,residential_medium,False
4,13,0.511,0.218,True,0.994,0.658,0.297,0.699,0.56,0.611,0.771,4,high,tower_candidate,True
5,13,0.621,0.252,True,1.414,0.628,0.326,0.66,0.545,0.605,0.747,2,medium,residential_medium,False
6,13,0.69,0.275,True,2.236,0.554,0.341,0.725,0.533,0.654,0.784,2,medium,residential_medium,False
7,13,0.706,0.283,True,3.162,0.465,0.341,0.633,0.47,0.646,0.718,2,medium,residential_medium,False
8,13,0.668,0.275,True,2.55,0.519,0.326,0.547,0.468,0.594,0.666,2,medium,residential_medium,False
9,13,0.579,0.251,True,1.581,0.602,0.297,0.506,0.486,0.551,0.643,1,low,residential_low,False
10,13,0.451,0.218,True,0.707,0.671,0.254,0.464,0.494,0.513,0.618,1,low,residential_low,False
11,13,0.3,0.179,True,0.0,0.72,0.201,0.52,0.514,0.519,0.652,1,low,residential_low,False
12,13,0.143,0.157,True,0.707,0.631,0.14,0.338,0.41,0.475,0.523,1,low,residential_low,False
13,13,-0.006,0.149,True,1.414,0.539,0.071,0.439,0.374,0.545,0.574,1,low,residential_low,False
14,13,-0.138,0.132,True,2.121,0.446,0.0,0.421,0.306,0.626,0.56,0,none,forest,False
0,14,-0.105,0.109,True,1.546,0.501,0.0,0.673,0.394,0.709,0.725,0,none,forest,False
1,14,0.004,0.116,True,1.656,0.512,0.061,0.667,0.415,0.703,0.728,5,none,plaza,False
2,14,0.12,0.116,True,1.767,0.521,0.116,0.642,0.43,0.69,0.718,0,none,forest,False
3,14,0.236,0.139,True,1.877,0.527,0.164,0.63,0.444,0.683,0.715,0,none,forest,False
4,14,0.34,0.171,True,1.988,0.529,0.201,0.67,0.466,0.699,0.745,0,none,forest,False
5,14,0.422,0.199,True,2.236,0.514,0.227,0.753,0.488,0.737,0.799,0,none,forest,False
6,14,0.472,0.218,True,2.828,0.462,0.241,0.787,0.477,0.767,0.818,0,none,forest,False
7,14,0.482,0.224,True,3.536,0.394,0.241,0.699,0.424,0.754,0.756,0,none,forest,False
8,14,0.45,0.218,True,2.55,0.484,0.227,0.66,0.451,0.709,0.737,0,none,forest,False
9,14,0.379,0.2,True,1.581,0.568,0.201,0.524,0.447,0.628,0.655,1,low,residential_low,False
10,14,0.279,0.172,True,0.707,0.639,0.164,0.548,0.474,0.615,0.672,1,low,residential_low,False
11,14,0.161,0.139,True,0.707,0.623,0.116,0.555,0.454,0.623,0.671,1,low,residential_low,False
12,14,0.036,0.125,True,1.414,0.535,0.061,0.43,0.366,0.601,0.578,1,low,residential_low,False
13,14,-0.085,0.121,True,2.121,0.446,0.0,0.412,0.304,0.622,0.554,0,none,forest,False
14,14,-0.192,0.107,True,2.828,0.378,0.0,0.419,0.275,0.647,0.553,0,none,forest,False
