x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
8,3,0.9,0.066,True,1.581,0.71,1,low,residential_low,False
9,3,0.918,0.075,True,2.121,0.692,1,low,residential_low,False
10,3,0.918,0.084,True,2.915,0.66,1,low,residential_low,False
11,3,0.903,0.091,True,3.808,0.622,1,low,residential_low,False
12,3,0.874,0.097,True,4.743,0.581,1,low,residential_low,False
13,3,0.834,0.1,True,5.701,0.537,1,low,residential_low,False
14,3,0.784,0.103,True,6.671,0.491,1,low,residential_low,False
15,3,0.729,0.102,True,7.649,0.443,1,low,residential_low,False
16,3,0.671,0.101,True,8.623,0.394,1,low,residential_low,False
17,3,0.615,0.097,True,7.937,0.423,1,low,residential_low,False
18,3,0.564,0.09,True,7.25,0.451,1,low,residential_low,False
19,3,0.519,0.083,True,6.563,0.478,1,low,residential_low,False
20,3,0.483,0.075,True,5.877,0.503,1,low,residential_low,False
21,3,0.458,0.066,True,5.19,0.528,1,low,residential_low,False
22,3,0.443,0.056,True,4.503,0.551,1,low,residential_low,False
23,3,0.439,0.047,True,3.817,0.574,1,low,residential_low,False
24,3,0.443,0.038,True,3.13,0.596,1,low,residential_low,False
25,3,0.453,0.029,True,2.444,0.617,1,low,residential_low,False
26,3,0.467,0.02,True,1.757,0.638,1,low,residential_low,False
27,3,0.483,0.016,True,1.118,0.656,1,low,residential_low,False
28,3,0.496,0.013,True,1.118,0.642,1,low,residential_low,False
29,3,0.503,0.007,True,1.803,0.596,1,low,residential_low,False
0,4,0.293,0.102,True,7.517,0.344,0,none,forest,False
1,4,0.395,0.104,True,6.519,0.406,0,none,forest,False
2,4,0.499,0.104,True,5.523,0.467,1,low,residential_low,False
3,4,0.601,0.102,True,4.528,0.528,1,low,residential_low,False
4,4,0.698,0.097,True,3.536,0.588,1,low,residential_low,False
5,4,0.785,0.087,True,2.55,0.648,1,low,residential_low,False
6,4,0.861,0.076,True,1.581,0.705,1,low,residential_low,False
7,4,0.921,0.06,True,0.707,0.758,1,low,residential_low,False
8,4,0.966,0.066,True,0.707,0.767,1,low,residential_low,False
